Acc_X_lf,Acc_Y_lf,Acc_Z_lf,Acc_X_rf,Acc_Y_rf,Acc_Z_rf
7.888423443,6.455935955,-2.949755669,9.925278664,-1.748020768,1.470948815
7.676045895,6.669407845,-3.079130888,9.915657997,-1.827171803,0.90674305
7.637376308,6.790251255,-3.089639187,9.691673279,-2.522216797,0.01669517
7.622686386,6.908092022,-3.217963219,9.520133972,-3.090721607,-0.679476202
7.669035912,7.053536415,-3.483758211,9.432447433,-3.427739143,-1.092297196
7.692018032,7.211985111,-3.569260836,9.098842621,-3.710432291,-0.674017012
7.680623055,7.348807335,-3.558380127,8.704338074,-3.798728228,0.09296599
7.619330883,7.488987446,-3.501107454,8.443736076,-3.759906292,0.826072931
7.627947807,7.500091076,-3.380786419,8.34049511,-3.60644722,1.165896058
7.537752628,7.373343945,-3.246945858,8.469907761,-3.33220458,1.168108582
7.331861496,7.184794903,-3.129227877,9.079039574,-2.301459312,1.099212885
7.177936077,6.99139595,-3.178266287,10.04349995,-1.628051519,1.082869053
7.199444771,6.749526978,-3.166725397,10.4523859,-0.851127446,1.14979279
7.209450722,6.638041496,-2.908296585,10.40979576,-1.170357585,0.211734667
7.450342655,6.541028023,-2.859306097,9.884336472,-2.531302214,-0.694434404
7.341229439,6.47589016,-2.609463692,9.330920219,-3.614086866,-1.564357638
7.492518902,6.456647396,-2.71932435,9.120569229,-3.867610455,-1.770431638
7.604423046,6.361278534,-2.816649437,9.16261673,-3.313785553,-1.317551732
7.721731186,6.229278088,-2.998514175,9.194503784,-2.779509068,-0.690553844
7.666721821,6.102102757,-3.01205039,9.268296242,-2.325905561,-0.324997395
7.52555275,6.057300568,-3.100519896,9.366701126,-2.191096306,-0.071038723
7.425851822,6.027992249,-3.242551327,9.420830727,-2.193614721,0.312358141
7.494467735,5.958715439,-3.453518152,9.618031502,-2.119009018,0.426286846
7.602560043,5.887329102,-3.550878048,9.866569519,-1.821447015,0.44205758
7.811657429,5.814035892,-3.436668158,9.92436409,-1.953685164,0.030470688
7.861774921,5.67156601,-2.830104828,9.812568665,-2.101963758,-0.209010586
7.921718597,5.504108429,-2.622130156,9.592926979,-2.469264507,-0.377280921
8.249303818,5.455813885,-2.469940424,9.236300468,-3.024235725,-0.289931595
8.450469971,5.133860588,-2.400227308,8.927526474,-2.64603591,-0.094079286
8.601761818,4.780484676,-2.430344105,9.040282249,-2.302995682,-0.311890692
8.676370621,4.396093845,-2.29563117,9.268866539,-2.424517155,-0.214920476
8.75007534,4.189282894,-2.3988657,9.40826416,-2.390162945,-0.002959055
8.684402466,3.895926952,-2.500198364,9.797428131,-1.732118487,0.252665669
8.510550499,3.664535761,-2.69965148,10.21968174,-1.178733706,0.929509223
8.31435585,3.459143877,-2.813273191,10.20813751,-0.935607672,1.091788173
8.389136314,3.63801074,-2.746280193,9.825510025,-1.416643858,0.639549792
8.709328651,4.024717808,-2.273871183,9.579468727,-2.006465673,0.074288867
9.130130768,4.471994877,-1.66493237,9.486379623,-2.197211981,-0.370956093
9.498121262,4.755214214,-1.434802771,9.386127472,-2.189445734,-0.213780478
9.577111244,4.530082703,-1.236092925,9.228745461,-2.312996387,-0.304886281
9.295223236,3.872868538,-1.069936514,9.04672718,-2.798136473,-1.073936462
8.774092674,2.961856604,-1.283268809,9.427052498,-3.298210144,-0.482757568
8.267766953,1.673152447,-1.562432647,9.144453049,-2.468311548,0.214327008
