Acc_X_lf,Acc_Y_lf,Acc_Z_lf,Acc_X_rf,Acc_Y_rf,Acc_Z_rf
0.0,0.0,0.0,0.0,0.0,0.0
9.75883007,0.92746079,-0.714977622,9.699114799,-0.513605058,-0.380894572
9.756316185,0.915218115,-0.730103612,9.798958778,-0.638376892,-0.403751522
9.770414352,0.887852788,-0.730982065,9.759178162,-0.524446964,-0.082214013
9.760866165,0.828819275,-0.739239097,9.763986588,-0.302779287,0.094321616
9.758182526,0.843070745,-0.78226006,9.733142853,-0.260685384,0.249055326
9.761541367,0.780994713,-0.767222881,9.637216568,-0.104590148,0.366439074
9.791527748,0.798359454,-0.829241395,9.729104996,-0.007140831,0.061425723
9.877023697,0.80715394,-0.790937543,9.825670242,-0.187478051,-0.413691938
9.922279358,0.827572346,-0.764150858,9.967790604,-0.422155052,-0.492107064
9.902610779,0.865182996,-0.813443005,9.986686707,-0.529202819,-0.37722078
9.826475143,0.87950772,-0.850678802,9.924901962,-0.521043062,-0.095244914
9.791819572,0.928609967,-0.932057202,9.687651634,-0.555075049,0.357411474
9.759714127,0.931549072,-0.965545774,9.546222687,-0.44597435,0.449557304
9.753526688,0.895956099,-1.004520416,9.556106567,-0.236020088,0.450658202
9.754667282,0.911923409,-0.990810633,9.680690765,-0.398100406,0.580932856
9.688182831,0.977894604,-0.931700587,9.752919197,-0.485109091,0.685551703
9.642771721,1.082698822,-0.921079397,9.72621727,-0.431840509,0.697384
9.645784378,1.150813818,-0.874882877,9.72905159,-0.443789989,0.561997116
9.679148674,1.201131701,-0.915275812,9.770938873,-0.469498307,0.597594976
9.690302849,1.130699039,-0.911043465,9.720843315,-0.398713112,0.557416022
9.6923666,1.043862104,-0.922743857,9.652568817,-0.287503123,0.396055013
9.706381798,0.928595304,-0.875649154,9.691724777,-0.316953391,0.033313487
9.702044487,0.845986307,-0.815350711,9.787092209,-0.529928625,-0.305141181
9.653214455,0.909212053,-0.822697043,9.847556114,-0.701226115,-0.454580575
9.661030769,0.950826287,-0.840527534,9.828885078,-0.603992641,-0.491284788
9.690950394,0.980781972,-0.849629045,9.806137085,-0.59523797,-0.320366651
9.701258659,1.026889205,-0.801435649,9.807795525,-0.478559613,0.222181782
9.697416306,1.043928504,-0.74184823,9.757668495,-0.357426733,0.622383595
9.752542496,1.026512504,-0.683136463,9.657917023,-0.47909525,0.487929225
9.863927841,0.811685681,-0.740376711,9.633022308,-0.661374867,0.157339215
9.999734879,0.592611551,-0.785002232,9.710492134,-0.652243495,0.017064003
10.03157234,0.524130285,-0.779966652,9.789355278,-0.614690483,-0.063460909
9.968139648,0.580664814,-0.758762121,9.851593018,-0.615026295,-0.046411138
9.888893127,0.65246439,-0.782163322,9.794653893,-0.647934377,0.055036537
9.803173065,0.720517457,-0.738460898,9.754817963,-0.686511099,0.064789526
9.739052773,0.799990594,-0.696910083,9.670743942,-0.718238592,0.033090241
9.714313507,0.847621441,-0.630605042,9.621814728,-0.626973987,-0.312711954
9.754668236,0.800596297,-0.633964002,9.706047058,-0.680906832,-0.723047256
9.777330399,0.849585414,-0.681742191,9.808362007,-0.888125777,-0.977077246
9.74181366,0.909562707,-0.680537462,9.870796204,-0.8344962,-1.054554224
9.681340218,0.993454099,-0.693553209,9.902977943,-0.716527879,-0.455522746
9.656978607,1.039990664,-0.677603304,9.790759087,-0.6383605,0.097464703
9.67761898,1.009524345,-0.810098231,9.723638535,-0.647217453,0.298440099
9.826272011,0.850349069,-0.613394856,9.667767525,-0.748907268,0.51084888
9.77472496,0.901609182,-0.230562285,9.605049133,-0.666714728,0.6259951
9.768099785,0.9979828,-0.176577404,9.610981941,-0.560217977,0.486677617
9.828259468,1.01855576,-0.120751888,9.699438095,-0.637103319,0.253652662
